title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2126/,Etaj 6 din 15,"38,82 m²",N/A,"9,70 m²",N/A,134.800 € + TVA,160.412 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2125/,Etaj 6 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,311.000 € + TVA,370.090 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2124/,Etaj 5 din 15,"38,82 m²",N/A,"9,70 m²",N/A,130.400 € + TVA,155.176 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2147/,Etaj 11 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,699.000 € + TVA,831.810 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2146/,Etaj 11 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,619.000 € + TVA,736.610 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2145/,Etaj 10 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,382.000 € + TVA,454.580 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-club-sks2144/,Etaj 10 din 15,"63,37 m²",1 dormitor,"8,80 m²",N/A,242.000 € + TVA,287.980 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2143/,Etaj 10 din 15,"38,82 m²",N/A,"9,70 m²",N/A,161.000 € + TVA,191.590 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-club-sks2142/,Etaj 10 din 15,"38,82 m²",N/A,"9,70 m²",N/A,161.000 € + TVA,191.590 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-club-sks2141/,Etaj 10 din 15,"63,37 m²",1 dormitor,"8,80 m²",N/A,222.000 € + TVA,264.180 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 3 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-3-camere-one-lake-club-sks2140/,Etaj 10 din 15,"102,91 m²",2 dormitoare,"8,70 m²",N/A,357.000 € + TVA,424.830 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2139/,Etaj 10 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,627.500 € + TVA,746.725 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake Club,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-club-sks2138/,Etaj 10 din 15,"156,51 m²",3 dormitoare,"18,60 m²",N/A,587.500 € + TVA,699.125 €,Vânzare,One Lake Club,N/A,15,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
