title,link,floor,area,bedrooms,terrace,parking,price,price_with_vat,availability,project,phase,building_floors,building_type,energy_class,building_structure,building_status,completion_date,sector,neighborhood
Garsonieră de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-district-sks2399/,Etaj 10,"46,30 m²",N/A,"6,00 m²",1,129.000 € + TVA,153.510 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2396/,Etaj 10,"62,10 m²",1 dormitor,"11,61 m²",1,149.100 € + TVA,177.429 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 2 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-2-camere-one-lake-district-sks2395/,Etaj 10,"61,90 m²",1 dormitor,"33,17 m²",1,148.400 € + TVA,176.596 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2389/,Etaj 9,"136,40 m²",3 dormitoare,"47,41 m²",2e,312.700 € + TVA,372.113 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-district-sks2387/,Etaj 9,"46,30 m²",N/A,"6,00 m²",1,124.000 € + TVA,147.560 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-district-sks2380/,Etaj 8,"46,30 m²",N/A,"6,00 m²",1,119.000 € + TVA,129.710 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2377/,Etaj 7,"136,40 m²",3 dormitoare,"47,41 m²",2e,293.550 € + TVA,349.325 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Garsonieră de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/garsoniera-one-lake-district-sks2375/,Etaj 7,"46,30 m²",N/A,"6,15 m²",1,117.420 € + TVA,127.988 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2370/,Parter,"136,40 m²",3 dormitoare,"146,60 m²",2e,252.800 € + TVA,300.832 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
Apartament cu 4 camere de vânzare în One Lake District,https://skia.one.ro/ro/vanzare/apartament-4-camere-one-lake-district-sks2521/,Etaj 11,"170,50 m²",3 dormitoare,"86,98 m²",3e,459.000 € + TVA,546.210 €,Vânzare,One Lake District,One Lake District I,N/A,mixt,A,beton,în curs de construire,2025,Sector 2,N/A
