title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Radsor Residence – schița apartament cu 2 camere apartament camere de la 60.0m2 - Korter.ro,Radsor Residence,"str.Calea Brașovului, Râșnov, zona Sud, Brașov(C4)",72072,1201,2,602,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 3 camere apartament camere de la 136.23m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",220602,1619,3,136.232,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Top City – schița apartament cu Garsonieră camere de la 42.07m2 - Korter.ro,Top City,"str.Ștefan Baciu, 42-56, zona Tractorul, Brașov(B5)",63900,1519,0,42.072,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.19m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 48)",0,0,2,56.192,0,0,0
ONE66 – schița apartament cu 2 camere apartament camere de la 60.04m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",130000,2165,2,60.042,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 56.37m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 49)",0,0,2,56.372,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 2 camere apartament camere de la 85.54m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",171400,2004,2,85.542,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 77.05m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",106562,1383,2,77.052,0,0,0
Transilvania Residence – schița apartament cu 2 camere apartament camere de la 62.38m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",101000,1619,2,62.382,0,0,0
Transilvania Residence – schița apartament cu 2 camere apartament camere de la 61.32m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 3)",97000,1582,2,61.322,0,0,0
